 ,Area,Mean,Min,Max
707,597.982,255,255,255
708,441.012,255,255,255
709,650.305,255,255,255
710,426.062,255,255,255
711,612.931,255,255,255
712,538.184,255,255,255
713,433.537,255,255,255
714,822.225,255,255,255
715,560.608,255,255,255
716,284.041,255,255,255
717,67.273,255,255,255
718,1203.439,255,255,255
719,478.386,255,255,255
720,508.285,255,255,255
721,366.264,255,255,255
722,321.415,255,255,255
723,732.528,255,255,255
724,1876.168,255,255,255
725,508.285,255,255,255
726,620.406,255,255,255
727,874.549,255,255,255
728,463.436,255,255,255
729,366.264,255,255,255
730,373.739,255,255,255
731,463.436,255,255,255
732,1121.216,255,255,255
733,306.466,255,255,255
734,642.831,255,255,255
735,515.759,255,255,255
736,455.961,255,255,255
737,485.860,255,255,255
738,396.163,255,255,255
739,343.840,255,255,255
740,642.831,255,255,255
741,1532.329,255,255,255
742,485.860,255,255,255
743,306.466,255,255,255
744,269.092,255,255,255
745,612.931,255,255,255
746,463.436,255,255,255
747,1121.216,255,255,255
748,209.294,255,255,255
749,1203.439,255,255,255
750,485.860,255,255,255
751,530.709,255,255,255
752,478.386,255,255,255
753,470.911,255,255,255
754,291.516,255,255,255
755,1061.418,255,255,255
756,433.537,255,255,255
757,1009.095,255,255,255
758,351.314,255,255,255
759,725.053,255,255,255
760,799.801,255,255,255
761,538.184,255,255,255
762,590.507,255,255,255
763,485.860,255,255,255
764,485.860,255,255,255
765,269.092,255,255,255
766,620.406,255,255,255
767,276.567,255,255,255
768,523.234,255,255,255
769,396.163,255,255,255
770,366.264,255,255,255
771,844.649,255,255,255
772,426.062,255,255,255
773,1255.762,255,255,255
774,889.498,255,255,255
775,134.546,255,255,255
776,381.213,255,255,255
777,418.587,255,255,255
778,1098.792,255,255,255
779,979.195,255,255,255
780,119.596,255,255,255
781,882.023,255,255,255
782,396.163,255,255,255
783,463.436,255,255,255
784,411.113,255,255,255
785,411.113,255,255,255
786,896.973,255,255,255
787,478.386,255,255,255
788,710.104,255,255,255
789,276.567,255,255,255
790,508.285,255,255,255
791,1061.418,255,255,255
792,119.596,255,255,255
793,321.415,255,255,255
794,553.133,255,255,255
795,762.427,255,255,255
796,366.264,255,255,255
797,769.902,255,255,255
798,313.941,255,255,255
799,343.840,255,255,255
800,291.516,255,255,255
801,784.851,255,255,255
802,538.184,255,255,255
803,575.558,255,255,255
804,156.970,255,255,255
805,994.145,255,255,255
806,313.941,255,255,255
807,1166.065,255,255,255
808,612.931,255,255,255
809,545.659,255,255,255
810,396.163,255,255,255
811,321.415,255,255,255
812,485.860,255,255,255
813,1151.115,255,255,255
814,717.578,255,255,255
815,261.617,255,255,255
816,441.012,255,255,255
817,366.264,255,255,255
818,463.436,255,255,255
819,515.759,255,255,255
820,388.688,255,255,255
821,1076.367,255,255,255
822,605.457,255,255,255
823,530.709,255,255,255
824,530.709,255,255,255
825,523.234,255,255,255
826,605.457,255,255,255
827,455.961,255,255,255
